state_name,gender,category_name,aspirational_final,class,amount_of_scholarship
Goa,Girls,OBC,Non-Aspirational,6,10000.0
Goa,Girls,OBC,Non-Aspirational,9,20000.0
Goa,Girls,ST,Non-Aspirational,9,10000.0
Gujarat,Boys,Gen,Aspirational,8,20000.0
Gujarat,Boys,Gen,Non-Aspirational,6,310000.0
Gujarat,Boys,Gen,Non-Aspirational,7,350000.0
Gujarat,Boys,Gen,Non-Aspirational,8,460000.0
Gujarat,Boys,Gen,Non-Aspirational,9,220000.0
Gujarat,Boys,Gen,Non-Aspirational,10,140000.0
Gujarat,Boys,OBC,Aspirational,7,30000.0
Gujarat,Boys,OBC,Aspirational,8,50000.0
Gujarat,Boys,OBC,Non-Aspirational,6,480000.0
Gujarat,Boys,OBC,Non-Aspirational,7,820000.0
Gujarat,Boys,OBC,Non-Aspirational,8,1160000.0
Gujarat,Boys,OBC,Non-Aspirational,9,270000.0
Gujarat,Boys,OBC,Non-Aspirational,10,110000.0
Gujarat,Boys,SC,Non-Aspirational,6,30000.0
Gujarat,Boys,SC,Non-Aspirational,7,150000.0
Gujarat,Boys,SC,Non-Aspirational,8,150000.0
Gujarat,Boys,SC,Non-Aspirational,9,60000.0
Gujarat,Boys,ST,Aspirational,7,70000.0
Gujarat,Boys,ST,Aspirational,8,80000.0
Gujarat,Boys,ST,Non-Aspirational,6,250000.0
Gujarat,Boys,ST,Non-Aspirational,7,330000.0
Gujarat,Boys,ST,Non-Aspirational,8,380000.0
Gujarat,Boys,ST,Non-Aspirational,9,100000.0
Gujarat,Boys,ST,Non-Aspirational,10,60000.0
Gujarat,Girls,Gen,Aspirational,6,30000.0
Gujarat,Girls,Gen,Aspirational,7,10000.0
Gujarat,Girls,Gen,Non-Aspirational,6,200000.0
Gujarat,Girls,Gen,Non-Aspirational,7,490000.0
Gujarat,Girls,Gen,Non-Aspirational,8,400000.0
Gujarat,Girls,Gen,Non-Aspirational,9,190000.0
Gujarat,Girls,Gen,Non-Aspirational,10,290000.0
Gujarat,Girls,OBC,Aspirational,6,10000.0
Gujarat,Girls,OBC,Aspirational,7,10000.0
Gujarat,Girls,OBC,Aspirational,8,40000.0
Gujarat,Girls,OBC,Non-Aspirational,6,310000.0
Gujarat,Girls,OBC,Non-Aspirational,7,810000.0
Gujarat,Girls,OBC,Non-Aspirational,8,930000.0
Gujarat,Girls,OBC,Non-Aspirational,9,160000.0
Gujarat,Girls,OBC,Non-Aspirational,10,140000.0
Gujarat,Girls,SC,Non-Aspirational,6,50000.0
Gujarat,Girls,SC,Non-Aspirational,7,80000.0
Gujarat,Girls,SC,Non-Aspirational,8,120000.0
Gujarat,Girls,SC,Non-Aspirational,9,40000.0
Gujarat,Girls,SC,Non-Aspirational,10,10000.0
Gujarat,Girls,ST,Aspirational,6,60000.0
Gujarat,Girls,ST,Aspirational,7,80000.0
Gujarat,Girls,ST,Aspirational,8,50000.0
Gujarat,Girls,ST,Non-Aspirational,6,120000.0
Gujarat,Girls,ST,Non-Aspirational,7,610000.0
Gujarat,Girls,ST,Non-Aspirational,8,580000.0
Gujarat,Girls,ST,Non-Aspirational,9,140000.0
