Year,State name,District Name,Aspirational Final,Category name,Class,Gender,Amount of Scholarship,Scholarship_Category_Ratio
2023,Bihar,Begusarai,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Begusarai,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Gaya,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Khagaria,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Muzaffarpur,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Purnia,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Bihar,Purnia,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Chhattisgarh,Bastar,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Himachal Pradesh,Chamba,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Kupwara,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Bokaro,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Bokaro,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Garhwa,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Giridih,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Khunti,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Lohardaga,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Pakur,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Pakur,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Purbi Singhbhum,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Ramgarh,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Jharkhand,Ranchi,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Odisha,Balangir,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Odisha,Balangir,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Odisha,Dhenkanal,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Odisha,Kalahandi,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Odisha,Kandhamal,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Rajasthan,Jaisalmer,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Tamil Nadu,Virudhunagar,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Telangana,Bhadradri-Kothagudem,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Telangana,Bhadradri-Kothagudem,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Uttar Pradesh,Balrampur(1),Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Uttarakhand,Udham Singh Nagar,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Uttarakhand,Udham Singh Nagar,Aspirational,Gen,6,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Visakhapatnam,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Visakhapatnam,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Visakhapatnam,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Andhra Pradesh,Y.S.R.,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Aurangabad(1),Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Begusarai,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Begusarai,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Begusarai,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Banka,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Begusarai,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Gaya,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Katihar,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Muzaffarpur,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Muzaffarpur,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Nawada,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Bihar,Nawada,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Chhattisgarh,Bastar,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Chhattisgarh,Korba,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Chhattisgarh,Korba,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Chhattisgarh,Sukma,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Himachal Pradesh,Chamba,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Himachal Pradesh,Chamba,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Himachal Pradesh,Chamba,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Baramulla,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Kupwara,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Kupwara,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jammu & Kashmir,Kupwara,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Bokaro,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Bokaro,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Dumka,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Godda,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Godda,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Hazaribagh,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Hazaribagh,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Hazaribagh,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Khunti,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Palamu,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Purbi Singhbhum,Aspirational,Gen,7,Boys,10000,0.22982411654871948
2023,Jharkhand,Purbi Singhbhum,Aspirational,Gen,7,Boys,10000,0.22982411654871948
