state_name,category_name,aspirational_final,class,amount_of_scholarship,gender_male,is_outlier
Himachal Pradesh,Gen,False,1.0,390000.0,False,False
Himachal Pradesh,OBC,False,0.0,20000.0,False,False
Himachal Pradesh,OBC,False,0.25,30000.0,False,False
Himachal Pradesh,OBC,False,0.5,130000.0,False,False
Himachal Pradesh,OBC,False,0.75,90000.0,False,False
Himachal Pradesh,OBC,False,1.0,110000.0,False,False
Himachal Pradesh,SC,True,0.5,10000.0,False,False
Himachal Pradesh,SC,True,1.0,20000.0,False,False
Himachal Pradesh,SC,False,0.0,60000.0,False,False
Himachal Pradesh,SC,False,0.25,120000.0,False,False
Himachal Pradesh,SC,False,0.5,310000.0,False,False
Himachal Pradesh,SC,False,0.75,250000.0,False,False
Himachal Pradesh,SC,False,1.0,210000.0,False,False
Himachal Pradesh,ST,True,0.5,10000.0,False,False
Himachal Pradesh,ST,True,0.75,10000.0,False,False
Himachal Pradesh,ST,True,1.0,10000.0,False,False
Himachal Pradesh,ST,False,0.25,10000.0,False,False
Himachal Pradesh,ST,False,0.5,20000.0,False,False
Himachal Pradesh,ST,False,0.75,10000.0,False,False
Himachal Pradesh,ST,False,1.0,40000.0,False,False
Jammu & Kashmir,Gen,True,0.0,130000.0,True,False
Jammu & Kashmir,Gen,True,0.25,180000.0,True,False
Jammu & Kashmir,Gen,True,0.5,230000.0,True,False
Jammu & Kashmir,Gen,True,0.75,170000.0,True,False
Jammu & Kashmir,Gen,True,1.0,70000.0,True,False
Jammu & Kashmir,Gen,False,0.0,400000.0,True,False
Jammu & Kashmir,Gen,False,0.25,480000.0,True,False
Jammu & Kashmir,Gen,False,0.5,590000.0,True,False
Jammu & Kashmir,Gen,False,0.75,580000.0,True,False
Jammu & Kashmir,Gen,False,1.0,480000.0,True,False
Jammu & Kashmir,OBC,True,0.0,10000.0,True,False
Jammu & Kashmir,OBC,True,0.25,20000.0,True,False
Jammu & Kashmir,OBC,True,0.5,40000.0,True,False
Jammu & Kashmir,OBC,True,0.75,20000.0,True,False
Jammu & Kashmir,OBC,True,1.0,20000.0,True,False
Jammu & Kashmir,OBC,False,0.0,20000.0,True,False
Jammu & Kashmir,OBC,False,0.25,70000.0,True,False
Jammu & Kashmir,OBC,False,0.5,100000.0,True,False
